id,strike,dip,Elevation
"1","247","40","440"
"1","250","35","353"
"1","250","35","408"
"1","250","35","388"
"1","253","45","406"
"1","250","40","357"
"1","259","50","349"
"1","263","45","378"
"1","263","60","290"
"1","263","50","329"
"1","263","70","244"
"1","258","50","307"
"1","263","30","344"
"1","260","35","286"
"1","265","25","317"
"1","267","25","308"
"1","250","35","353"
"1","250","35","347"
"1","238","25","298"
"1","235","25","224"
"1","255","35","189"
"1","255","35","189"
"1","255","25","383"
"1","258","25","330"
"1","262","20","349"
"1","265","25","357"
"1","268","25","329"
"1","272","25","328"
"1","262","25","307"
"1","258","85","275"
"1","263","70","277"
"1","270","50","188"
"1","260","60","251"
"1","263","55","246"
"1","266","80","244"
"1","275","50","225"
"1","268","65","211"
"1","276","60","213"
"1","276","60","197"
"1","282","60","199"
"1","280","50","208"
"1","270","35","330"
"1","289","30","213"
"1","295","30","244"
"1","263","35","337"
"1","263","35","216"
