id,strike,dip,Elevation
"1","230","60","323"
"1","219","55","302"
"1","220","50","248"
"1","182","50","261"
"1","227","55","297"
"1","212","50","307"
"1","210","40","224"
"1","210","25","202"
"1","215","60","344"
"1","210","55","348"
"1","213","55","348"
"1","205","10","303"
"1","25","5","311"
"1","223","25","333"
"1","220","35","357"
"1","218","45","360"
"1","210","50","359"
"1","220","20","319"
"1","205","10","262"
"1","25","10","231"
"1","210","35","360"
"1","215","25","360"
"1","25","10","251"
"1","30","50","281"
"1","210","35","365"
"1","208","40","360"
"1","200","25","330"
"1","210","25","276"
"1","210","25","192"
"1","212","25","192"
"1","211","30","278"
"1","208","30","219"
"1","222","30","254"
"1","220","30","298"
"1","208","25","222"
"1","210","40","283"
"1","208","35","378"
"1","26","80","238"
"1","207","25","301"
"1","208","25","268"
"1","205","20","269"
"1","210","30","310"
