AREA,PERIMETER,GEMSTR_,GEMSTR_ID,RELATEID,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,UTME,UTMN,UTM_ZONE,FIELD_STA,MEAS_ID,MEAS_DATE,GEOL_1,GEOL_2,REFRNCE,STRUCTURE,STRUC_TYPE,DIPD_TREND,DIP_PLUNGE,MRR_RELIAB,N_MEAS,SYM_CODE,DISPLAY,AVANGLE
0.00000,0.00000,"1999","3412",,,,,"0","0","0","0",,,"19750701",JCG,,NB:F,VC,P,"115","10",,"1","124","12000","245"
0.00000,0.00000,"2000","3413",,,,,"0","0","0","0",,,"19750701",JCG,,NB:F,VC,P,"100","26",,"1","124","12000","260"
0.00000,0.00000,"2001","3414",,,,,"0","0","0","0",,,"19750701",JCG,,NB:F,VC,P,"110","26",,"1","124","12000","250"
0.00000,0.00000,"2002","3415",,,,,"0","0","0","0",,,"19750701",JCG,,NB:F,VC,P,"107","22",,"1","124","12000","253"
0.00000,0.00000,"2003","3416",,,,,"0","0","0","0",,,"19750701",JCG,,NB:F,VC,P,"95","14",,"1","124","200000","265"
0.00000,0.00000,"2004","3417",,,,,"0","0","0","0",,,"19750701",JCG,,NB:F,VC,P,"123","18",,"1","124","12000","237"
0.00000,0.00000,"2005","3418",,,,,"0","0","0","0",,LW-25+,"19750701",JCG,,NB:F,VC,P,"115","17",,"1","124","12000","245"
0.00000,0.00000,"2009","3422",,,,,"0","0","0","0",,LW-41+,"19820515",JCG,,NB:J,VC,P,"122","20",,"1","124","200000","238"
0.00000,0.00000,"2010","3423",,,,,"0","0","0","0",,LWB-140,"19820515",JCG,,NB:J,VC,P,"142","20",,"1","124","12000","218"
0.00000,0.00000,"2011","3424",,,,,"0","0","0","0",,LW27++,"19820520",JCG,,NB:J,VC,P,"106","20",,"1","124","12000","254"
0.00000,0.00000,"2014","3427",,,,,"0","0","0","0",,LW-45-,"19820520",JCG,,NB:J,VC,P,"116","18",,"1","124","12000","244"
0.00000,0.00000,"2015","3428",,,,,"0","0","0","0",,LW-45+,"19820520",JCG,,NB:J,VC,P,"75","18",,"1","124","200000","285"
0.00000,0.00000,"2016","3429",,,,,"0","0","0","0",,LW-46+,"19820520",JCG,,NB:J,VC,P,"116","18",,"1","124","12000","244"
0.00000,0.00000,"2017","3430",,,,,"0","0","0","0",,LW-48+,"19820520",JCG,,NB:J,VC,P,"122","14",,"1","124","12000","238"
0.00000,0.00000,"2019","3432",,,,,"0","0","0","0",,LWB-145+,"19820520",JCG,,NB:J,VC,P,"92","11",,"1","124","200000","268"
0.00000,0.00000,"2020","3433",,,,,"0","0","0","0",,LWB-153+,"19820520",JCG,,NB:J,VC,P,"128","22",,"1","124","12000","232"
0.00000,0.00000,"2021","3434",,,,,"0","0","0","0",,LW-52,"19820520",JCG,,NB:J,VC,P,"118","16",,"1","124","200000","242"
