tab 	sites													
bed_dip	bed_dip_direction	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_tilt_correction	lat	lon	member	site	vgp_lat	vgp_lon	height
24	22	3.8	301.3	38.7	184.7	9	100	47.43	-87.71	Middle LST	LST1	36.9	175.8	5400
24	22	4.8	302.5	37.6	162.8	7	100	47.43	-87.71	Middle LST	LST2	37.1	173.2	5430
24	22	2.4	302.5	36.7	620.2	7	100	47.43	-87.71	Middle LST	LST3	36.7	172.6	5460
24	22	2.1	300.1	36.8	681.1	8	100	47.43	-87.71	Middle LST	LST4	35.2	174.6	5490
24	22	2.4	302	34.8	630	7	100	47.43	-87.71	Middle LST	LST5	35.5	171.9	5520
24	22	3.4	300.4	35.1	228.2	9	100	47.43	-87.71	Middle LST	LST6	34.6	173.4	5550
24	22	2	295.5	35.6	581.8	10	100	47.43	-87.71	Middle LST	LST7	31.5	177.6	5580
24	22	3.9	299.7	35.2	207.3	8	100	47.43	-87.71	Middle LST	LST8	34.1	174	5610
24	22	3.9	295.8	27.6	206.4	8	100	47.43	-87.71	Middle LST	LST9	28.1	173.2	5640
24	22	2.1	300.7	30.7	863.3	7	100	47.43	-87.71	Middle LST	LST10	32.7	170.8	5670
24	22	3.1	289.9	20.9	379.3	7	100	47.43	-87.71	Middle LST	LST11	21.4	174.9	5700
24	22	4.5	285.3	42.4	155.4	8	100	47.43	-87.71	Middle LST	LST13	27.9	189.1	5730
24	22	2.7	278.7	42.6	358.8	9	100	47.43	-87.71	Middle LST	LST16	23.6	193.7	5760
24	22	3.3	278.9	43.9	292	8	100	47.43	-87.71	Middle LST	LST17	24.4	194.4	5790
24	22	3.1	282.5	39.9	331.1	8	100	47.43	-87.71	Middle LST	LST19	24.8	189.5	5820
24	22	2	276.9	41.9	786	8	100	47.43	-87.71	Middle LST	LST23	22.1	194.5	5850
24	22	5.5	271.9	41.9	103.5	8	100	47.43	-87.71	Middle LST	LST26	18.8	197.9	5880
24	22	3.9	276.4	32.4	207.2	8	100	47.43	-87.71	Middle LST	LST28	17.1	189.9	5910
24	22	2.1	276.2	39.5	592.9	9	100	47.43	-87.71	Middle LST	LST29	20.4	193.6	5940
24	22	3.9	274.2	40.2	208.3	8	100	47.43	-87.71	Middle LST	LST31	19.4	195.4	5970
29	298	2.4	295.4	12.9	656.2	7	100	47.3	-88.45	Middle LST	Lt 1	21.9	166.8	5100
29	298	3.4	281.8	22.3	321.6	7	100	47.3	-88.45	Middle LST	Lt 2	16.5	180.9	5100
25	295	6.1	281.3	8.9	83.6	8	100	47.34	-88.45	Outer LST	OT1	10.9	176.3	5900
25	295	5.8	275.4	3.9	109	7	100	47.34	-88.45	Outer LST	OT2	5.1	178.9	5900
25	295	4.2	275.3	1.5	206.6	7	100	47.34	-88.45	Outer LST	OT3	4.1	178.2	5900
25	295	6.4	278.4	3.6	109.7	6	100	47.34	-88.45	Outer LST	OT4	7	176.6	5900
25	295	3	276.5	4.7	394.1	7	100	47.34	-88.45	Outer LST	OT5	6.1	178.3	5900
25	295	4.5	275.9	2.9	182.8	7	100	47.34	-88.45	Outer LST	OT6	5.1	178.2	5900
25	295	5.8	283.9	10.2	83.6	9	100	47.34	-88.45	Outer LST	OT7	13.2	174.8	5900
25	295	2.1	275.6	5.8	863.3	7	100	47.34	-88.45	Outer LST	OT8	5.9	179.4	5900
