PoleName,SLat,SLon,PLat,PLon,A95,K,N,PolarityZone,PmagRef,AgeNominal,AgeLower,AgeUpper,AgeInfo,AgeRef,Gaussian_2sigma,GaussianOrUniform,Q,color
Siemens Creek Volcanics,46.5,269.8,45.8,214.0,9.2,28.3,10,Alona Bay reversed-polarity zone,"Palmer and Halls, 1986",1108,1105,1110,Older than the $^{\mathrm{207}}$Pb/$^{\mathrm{206}}$Pb date of 1107.3 $\pm$ 1.6 Ma from a rhyolite in the Kallander Creek Volcanics,"Davis and Green, 1997",,uniform,6,"(0.281446, 0.08432, 0.407414, 1.0)"
Osler reverse (lower),48.8,272.34,40.9,218.6,4.8,31.5,30,Alona Bay reversed-polarity zone,"Swanson-Hysell et al., 2014b",1108,1105.15,1110,"Older than 1105.15 $\pm$ 0.33 Ma Osler reverse (upper) pole, perhaps similar in age in Logan Sills ($^{\mathrm{207}}$Pb/$^{\mathrm{206}}$Pb date of 1109 $\pm$ 1 Ma)","Davis and Sutcliffe, 1985; this study",,uniform,7,"(0.281446, 0.08432, 0.407414, 1.0)"
Osler reverse (upper),48.59,271.81,42.3,203.4,3.7,24.4,64,Alona Bay reversed-polarity zone,"Halls, 1974; Swanson-Hysell et al., 2014b; Swanson-Hysell et al., 2019",1105.15,1104.82,1105.48,$^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U date of 1105.15 $\pm$ 0.33 Ma for a rhyolite at Agate Point (this study),"Swanson-Hysell et al., 2019",0.33,gaussian,7,"(0.276194, 0.190074, 0.493001, 1.0)"
Osler normal,48.64,271.91,32.0,171.9,9.7,90.9,4,Portage Lake normal-polarity zone,"Halls, 1974; Swanson-Hysell et al., 2019",1095,1080,1100,"Poorly known, significantly younger than the ca. 1105 Ma Agate Point Rhyolite date, pole position similiar to Portage Lake normal-polarity zone poles and distinct from Flour Bay normal-polarity zone pole and therefore likely younger than 1100 Ma date in the Alona Bay reversed-polarity zone","Swanson-Hysell et al., 2019",,uniform,7,"(0.153364, 0.497, 0.557724, 1.0)"
Mamainse lower reversed 1,47.1,275.29,49.5,227.0,5.3,31.7,24,Alona Bay reversed-polarity zone,"Swanson-Hysell et al., 2014a",1109,1106,1112,Likely older than ca. 1105 Ma given distinct higher latitude pole position from Osler R1 and similar position to ca. 1107 Ma Siemens Creek Volcanic Pole,"Swanson-Hysell et al., 2019",,uniform,7,"(0.276022, 0.044167, 0.370164, 1.0)"
Mamainse lower reversed 2,47.09,275.27,37.5,205.2,4.5,78.6,14,Alona Bay reversed-polarity zone,"Swanson-Hysell, 2014a",1105,1100.4,1109,Older than $^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U date of 1100.4 Ma based on stratigraphic position; likely ca. 1105 Ma based on comparison with paleomagnetic data from the Osler Volcanic Group,"Swanson-Hysell, 2014a",,uniform,7,"(0.275191, 0.194905, 0.496005, 1.0)"
Mamainse lower normal and upper reversed,47.07,275.26,36.1,189.7,4.9,37.3,24,Flour Bay normal and reversed polarity zones,"Swanson-Hysell, 2014a",1100.36,1100.1,1100.61,Age constrained by $^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U date of 1100.36 $\pm$ 0.25 Ma on Flour Bay tuff,"Swanson-Hysell, 2014a",0.25,gaussian,7,"(0.21813, 0.347432, 0.550038, 1.0)"
Mamainse upper normal,47.06,275.25,31.2,183.2,2.5,94.4,34,Portage Lake normal-polarity zone,"Swanson-Hysell, 2014a",1094,1090,1100,Likely ca. 1094 Ma based on similar pole position to the Portage Lake Polarity Zone upper NE limb North Shore Volcanic Group poles,"Swanson-Hysell et al., 2019",,uniform,7,"(0.141935, 0.526453, 0.555991, 1.0)"
Grand Portage Basalts,47.93,270.28,46.0,201.7,6.8,38.4,13,Alona Bay reversed-polarity zone,"Books, 1968; Tauxe and Kodama, 2009",1106,1105.28,1108,"Close to, but slightly older than, $^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U 1105.60 $\pm$ 0.32 Ma based on date from Red Rock Rhyolite","Swanson-Hysell et al., 2019",,uniform,5,"(0.280868, 0.160771, 0.472899, 1.0)"
North Shore Volcanic Group (upper SW sequence),47.2,268.5,36.7,179.3,2.1,55.0,87,Portage Lake normal-polarity zone,"Tauxe and Kodama, 2009; Swanson-Hysell et al., 2019",1096.18,1093.94,1096.75,"$^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U date on 40th Ave. Icelandite (1096.75 $\pm$ 0.28) provides a lower bound, the $^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U date on the Two Harbors Icelandite is within the sequence (1096.18 $\pm$ 0.32) and the Palisade Rhyolite (1093.94 $\pm$ 0.28) provides an upper bound","Swanson-Hysell et al., 2019",1.12,gaussian,6,"(0.165117, 0.467423, 0.558141, 1.0)"
North Shore Volcanic Group (upper NE sequence),47.8,269.89,30.7,182.0,3.9,45.6,31,Portage Lake normal-polarity zone,"Books, 1972; Tauxe and Kodama, 2009",1095,1092,1098,"Younger than the the Devil's Kettle Rhyolite $^{\mathrm{207}}$Pb/$^{\mathrm{206}}$Pb date of 1097.7 $\pm$ 2.2 Ma, the new $^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U 1093.38 $\pm$ 0.55 Ma date from the Grand Marais Rhyolite is near the top of the sequence with paleomagnetic data","Davis and Green, 1997: Fairchild et al., 2017",,uniform,6,"(0.153364, 0.497, 0.557724, 1.0)"
Schroeder Lutsen Basalts,47.54,269.1,28.3,187.6,2.5,50.5,65,Portage Lake normal-polarity zone,"Books, 1972; Tauxe and Kodama, 2009; Fairchild et al., 2017",1090,1085,1091.7,$^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U date of of 1091.48 $\pm$ 0.21 Ma on Beaver Bay Complex aplite provides maximum age constraint,"Fairchild et al., 2017: Zhang et al., 2021",,uniform,6,"(0.122312, 0.633153, 0.530398, 1.0)"
Portage Lake Volcanics,47.29,271.59,27.1,183.1,2.4,44.7,79,Portage Lake normal-polarity zone,"Books, 1972; Hnat et al., 2006",1092.51,1091.59,1093.37,$^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U dates on Copper City flow 1093.37 $\pm$ 0.53 Ma and Greenstone Flow 1091.59 $\pm$ 0.27 Ma provide a lower and upper bound,"Swanson-Hysell et al., 2019",0.89,gaussian,6,"(0.121831, 0.589055, 0.545623, 1.0)"
Lake Shore Traps,47.43,272.29,23.1,185.7,3.3,38.8,50,Portage Lake normal-polarity zone,"Diehl and Haig, 1994; Kulakov et al., 2013",1085.47,1084,1091,"Younger than Greenstone Flow, $^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U date on Lake Shore Trap andesitic flow of 1085.47 $\pm$ 0.32 Ma","Fairchild et al., 2017; Swanson-Hysell et al., 2019",,uniform,6,"(0.266941, 0.748751, 0.440573, 1.0)"
Quebec Mine Member (Michipicoten Island),47.8,274.25,36.9,185.6,13.4,21.2,7,Portage Lake normal-polarity zone,"Palmer and Davis, 1987",1095,1086.5,1100,Older than ca. 1086.5 Ma $^{\mathrm{207}}$Pb/$^{\mathrm{206}}$Pb date on Michipicoten intrusive porphyry,"Palmer and Davis, 1987",,uniform,5,"(0.153364, 0.497, 0.557724, 1.0)"
Michipicoten Island Formation,47.7,274.15,17.5,175.8,4.1,46.6,27,Portage Lake normal-polarity zone,"Palmer and Davis, 1987; Fairchild et al., 2017",1083.95,1083.52,1084.39,$^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U dates on the West Sand Bay tuff 1084.39 $\pm$ 0.21 Ma and the Davieux Island Rhyolite 1083.52 $\pm$ 0.23 Ma bracket the VGPs,"Fairchild et al., 2017",0.44,gaussian,6,"(0.35236, 0.783011, 0.392636, 1.0)"
Duluth Complex,46.9,312.9,35.6,188.7,3.1,91.1,24,Portage Lake normal-polarity zone,"Swanson-Hysell et al., 2021",1096,1095.5,1096.5,"Duration of the emplacement of the complex calculated by resampling the dated units in Swanson-Hysell et al., 2021","Swanson-Hysell et al., 2021",0.25,gaussian,6,"(0.163625, 0.471133, 0.558148, 1.0)"
Beaver Bay Complex,47.4,268.8,32.7,188.8,5.9,40.7,16,Portage Lake normal-polarity zone,"Zhang et al., 2021",1091.7,1091.5,1091.9,Age of the complex bracketed by the CA-ID-TIMS dates from the anorthosite and the Silver Bay aplite,"Zhang et al., 2021",0.2,gaussian,6,"(0.122606, 0.585371, 0.546557, 1.0)"
Cut Face Creek Sandstone,47.73,269.56,33.6,178.5,1.7,44.0,157,Portage Lake normal-polarity zone (sed),"Pierce et al., 2022",1092.6,1091.7,1093.5,Data come from the Grand Marais Rhyolite and the Beaver River diabase,"Swanson-Hysell et al., 2019; Zhang et al., 2021",,uniform,6,"(0.128729, 0.563265, 0.551229, 1.0)"
