pole_name,citations,location,site,lat,lon,age,age_high,age_low,age_unit,age_uncertainty,dir_dec,dir_inc,dir_k,dir_f,dir_alpha95,dir_r,dir_tilt_correction,dir_polarity,dir_n_specimens,dir_n_samples,vgp_lat,vgp_lon,vgp_lat_rev,vgp_lon_rev,vgp_dm,vgp_dp,geologic_classes,lithologies,geologic_types,age_model,height_type,height,height_upper,height_lower,paleolatitude,Plon,Plat
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI1(11.8 to 26.4),48.8122,272.338,1108.0,1110.0,1105.15,Ma,uniform,79.7,-70.5,384.08779149519887,1.0,2.7,,100,r,7.0,7.0,-33.09835634604039,49.58832959558589,33.09835634604039,229.5883295955859,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,11.8,,,-54.6924566006785,229.5883295955859,33.09835634604039
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI1(116.3 to 118.8),48.8062,272.3366,1108.0,1110.0,1105.15,Ma,uniform,74.1,-70.3,79.75260416666664,1.0,6.4,,100,r,6.0,6.0,-30.44734854307043,51.83173949252472,30.44734854307043,231.83173949252472,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,116.3,,,-54.39340971507943,231.83173949252472,30.44734854307043
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI1(119.7 to 122.1),48.806,272.3366,1108.0,1110.0,1105.15,Ma,uniform,87.5,-68.9,84.77508650519033,1.0,6.8,,100,r,5.0,5.0,-35.32145606014437,43.91225203827469,35.32145606014437,223.9122520382747,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,119.7,,,-52.34134641734542,223.9122520382747,35.32145606014437
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI1(122.1 to 123.7),48.8058,272.3367,1108.0,1110.0,1105.15,Ma,uniform,75.7,-69.1,136.05442176870744,1.0,4.9,,100,r,6.0,6.0,-29.952659730319812,49.58549453957477,29.952659730319812,229.58549453957477,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,122.1,,,-52.63009627422685,229.58549453957477,29.952659730319812
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI1(28.3 to 29.2),48.8107,272.3377,1108.0,1110.0,1105.15,Ma,uniform,109.8,-66.8,184.08941485864563,1.0,3.9,,100,r,7.0,7.0,-45.7690761189208,30.95445176697899,45.7690761189208,210.954451766979,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,28.3,,,-49.39678185575174,210.954451766979,45.7690761189208
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI1(29.2 to 29.7),48.8104,272.3378,1108.0,1110.0,1105.15,Ma,uniform,99.7,-66.2,201.08751410690468,1.0,5.7,,100,r,3.0,3.0,-39.62421650690396,34.498032528205556,39.62421650690396,214.49803252820556,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,29.2,,,-48.5843194261958,214.49803252820556,39.62421650690396
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI1(33.3 to 37.1),48.81,272.3377,1108.0,1110.0,1105.15,Ma,uniform,92.6,-68.1,66.11570247933884,1.0,7.7,,100,r,5.0,5.0,-37.24333434307589,40.49722984053466,37.24333434307589,220.49722984053466,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,33.3,,,-51.20089775698439,220.49722984053466,37.24333434307589
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI1(40.6 to 42.5),48.8095,272.3374,1108.0,1110.0,1105.15,Ma,uniform,85.4,-73.3,266.6666666666667,1.0,3.5,,100,r,6.0,6.0,-38.17761055660688,51.6140336928907,38.17761055660688,231.6140336928907,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,40.6,,,-59.03503203004991,231.6140336928907,38.17761055660688
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI1(42.5 to 44.4),48.8095,272.3373,1108.0,1110.0,1105.15,Ma,uniform,77.8,-63.5,161.31687242798355,1.0,4.5,,100,r,6.0,6.0,-25.7599248995217,42.31375941918168,25.7599248995217,222.31375941918168,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,42.5,,,-45.08138325092736,222.31375941918168,25.7599248995217
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI1(58.1 to 64.1),48.8086,272.3378,1108.0,1110.0,1105.15,Ma,uniform,86.1,-64.4,51.790196855595205,1.0,8.7,,100,r,5.0,5.0,-30.81985041506628,38.84568587968823,30.81985041506628,218.84568587968823,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,58.1,,,-46.22167953854198,218.84568587968823,30.81985041506628
