tab 	measurements
citations	dir_csd	dir_dec	dir_inc	experiment	location	magn_moment	meas_n_orient	meas_temp	measurement	method_codes	quality	sample	site	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	0.7	233	39.3	ns002a1:LT-NO	North Shore Volcanics	1.535e-05	4	273	1	LT-NO	g	ns002a	ns002	ns002a1	u	SAN	0	0	0	0	273
This study	0.5	280.5	23.4	ns002b1:LT-NO	North Shore Volcanics	7.222e-06	4	273	1	LT-NO	g	ns002b	ns002	ns002b1	u	SAN	0	0	0	0	273
This study	0.3	318.4	68.5	ns002c1:LT-NO	North Shore Volcanics	9.18e-06	4	273	1	LT-NO	g	ns002c	ns002	ns002c1	u	SAN	0	0	0	0	273
This study	0.4	32.4	80.8	ns002d1:LT-NO	North Shore Volcanics	9.172e-06	4	273	1	LT-NO	g	ns002d	ns002	ns002d1	u	SAN	0	0	0	0	273
This study	0.4	194	61	ns002e1:LT-NO	North Shore Volcanics	1.396e-05	4	273	1	LT-NO	g	ns002e	ns002	ns002e1	u	SAN	0	0	0	0	273
This study	0.3	183.8	47	ns002f1:LT-NO	North Shore Volcanics	1.392e-05	4	273	1	LT-NO	g	ns002f	ns002	ns002f1	u	SAN	0	0	0	0	273
This study	0.4	236.3	21.4	ns002g1:LT-NO	North Shore Volcanics	6.066e-06	4	273	1	LT-NO	g	ns002g	ns002	ns002g1	u	SAN	0	0	0	0	273
This study	0.6	240.6	48.6	ns003a1:LT-NO	North Shore Volcanics	6.712e-06	4	273	1	LT-NO	g	ns003a	ns003	ns003a1	u	SAN	0	0	0	0	273
This study	0.9	249.4	33.5	ns003a2:LT-NO	North Shore Volcanics	4.812e-06	4	273	1	LT-NO	g	ns003a	ns003	ns003a2	u	SAN	0	0	0	0	273
This study	0.7	258.7	22.1	ns003a3:LT-NO	North Shore Volcanics	5.305e-06	4	273	1	LT-NO	g	ns003a	ns003	ns003a3	u	SAN	0	0	0	0	273
This study	0.7	217.8	31.4	ns003a4:LT-NO	North Shore Volcanics	5.188e-06	4	273	1	LT-NO	g	ns003a	ns003	ns003a4	u	SAN	0	0	0	0	273
This study	0.6	245.2	56.7	ns003b1:LT-NO	North Shore Volcanics	7.496e-06	4	273	1	LT-NO	g	ns003b	ns003	ns003b1	u	SAN	0	0	0	0	273
This study	0.7	248.1	48.8	ns003b2:LT-NO	North Shore Volcanics	5.777e-06	4	273	1	LT-NO	g	ns003b	ns003	ns003b2	u	SAN	0	0	0	0	273
This study	0.3	192.4	23	ns003c1:LT-NO	North Shore Volcanics	6.542e-06	4	273	1	LT-NO	g	ns003c	ns003	ns003c1	u	SAN	0	0	0	0	273
This study	0.4	175.1	50.8	ns003c2:LT-NO	North Shore Volcanics	1.254e-05	4	273	1	LT-NO	g	ns003c	ns003	ns003c2	u	SAN	0	0	0	0	273
This study	0.5	206.1	70.8	ns003d1:LT-NO	North Shore Volcanics	7.718e-06	4	273	1	LT-NO	g	ns003d	ns003	ns003d1	u	SAN	0	0	0	0	273
This study	0.5	214.4	74.8	ns003d2:LT-NO	North Shore Volcanics	7.217e-06	4	273	1	LT-NO	g	ns003d	ns003	ns003d2	u	SAN	0	0	0	0	273
This study	0.4	179	68.5	ns003e1:LT-NO	North Shore Volcanics	6.265e-06	4	273	1	LT-NO	g	ns003e	ns003	ns003e1	u	SAN	0	0	0	0	273
This study	0.4	167	43	ns003f1:LT-NO	North Shore Volcanics	6.832e-06	4	273	1	LT-NO	g	ns003f	ns003	ns003f1	u	SAN	0	0	0	0	273
This study	0.5	185.7	43.7	ns003g1:LT-NO	North Shore Volcanics	6.528e-06	4	273	1	LT-NO	g	ns003g	ns003	ns003g1	u	SAN	0	0	0	0	273
This study	0.5	251.5	52.1	ns004a1:LT-NO	North Shore Volcanics	2.178e-05	4	273	1	LT-NO	g	ns004a	ns004	ns004a1	u	SAN	0	0	0	0	273
