tab	samples
sample	site	specimens	dir_comp_name	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	criteria	description	software_packages	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	orientation_quality	citations	method_codes	timestamp	timestamp	timestamp	timestamp	location	sample_direction_type
ns002a	ns002									47.73415	269.57081	Igneous : Extrusive	Lava Flow	Basalt				4.1	0	12	167	-58.5	g	This study	FS-FD : SO-POM : SO-GT5 : SO-SUN	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns002a	ns002	ns002a1	MAG	290.2	38	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns002a	ns002	ns002a1	MAG	281	43.7	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns002b	ns002	ns002b1	HEM	279.5	33.7	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns002b	ns002	ns002b1	HEM	286	28.5	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns002b	ns002									47.73415	269.57081	Igneous : Extrusive	Lava Flow	Basalt				346.2	0	12	167	-24	g	This study	FS-FD : SO-POM : SO-SUN	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns002c	ns002	ns002c1	HEM	291.9	40.3	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns002c	ns002									47.73415	269.57081	Igneous : Extrusive	Lava Flow	Basalt				336.6	0	12	167	-20	g	This study	FS-FD : SO-POM : SO-GT5 : SO-SUN	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns002c	ns002	ns002c1	HEM	298.9	32.8	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns002d	ns002									47.73415	269.57081	Igneous : Extrusive	Lava Flow	Basalt				294	358	12	167	-30	g	This study	FS-FD : SO-POM : SO-GT5 : SO-CMD-NORTH	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns002d	ns002	ns002d1	HEM	284	42.1	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns002d	ns002	ns002d1	HEM	292.4	35.9	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns002e	ns002									47.73415	269.57081	Igneous : Extrusive	Lava Flow	Basalt				297	0	12	167	-80	g	This study	FS-FD : SO-POM : SO-MAG	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns002f	ns002									47.73415	269.57081	Igneous : Extrusive	Lava Flow	Basalt				291	358	12	167	-94.5	g	This study	FS-FD : SO-POM : SO-CMD-NORTH	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns002f	ns002	ns002f1	HEM	279.3	38.2	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns002f	ns002	ns002f1	HEM	287	32.9	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns002g	ns002									47.73415	269.57081	Igneous : Extrusive	Lava Flow	Basalt				358	0	12	167	-88	g	This study	FS-FD : SO-POM : SO-MAG	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns003a	ns003	ns003a1	MAG	294.8	39.8	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns003a	ns003									47.7371	269.58863	Igneous : Extrusive	Lava Flow	Andesite				340.2	0	12	167	-41	g	This study	FS-FD : SO-POM : SO-SUN	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns003a	ns003	ns003a1	MAG	285.3	46.4	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns003b	ns003	ns003b1	MAG	299.1	41.3	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns003b	ns003	ns003b1	MAG	289.5	48.6	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns003b	ns003									47.7371	269.58863	Igneous : Extrusive	Lava Flow	Andesite				338.8	0	12	167	-44	g	This study	FS-FD : SO-POM : SO-SUN	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns003c	ns003									47.7371	269.58863	Igneous : Extrusive	Lava Flow	Andesite				312	0	12	167	-87	g	This study	FS-FD : SO-POM : SO-MAG	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns003d	ns003									47.7371	269.58863	Igneous : Extrusive	Lava Flow	Andesite				312.8	0	12	167	-55	g	This study	FS-FD : SO-POM : SO-SUN	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns003d	ns003	ns003d2	HEM	296.8	39.7	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns003d	ns003	ns003d2	HEM	287.5	46.6	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns003e	ns003	ns003e1	HEM	298.6	37.4	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns003e	ns003									47.7371	269.58863	Igneous : Extrusive	Lava Flow	Andesite				299.2	0	12	167	-64	g	This study	FS-FD : SO-POM : SO-SUN	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns003e	ns003	ns003e1	HEM	290.3	44.7	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns003f	ns003	ns003f1	HEM	281.2	53	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns003f	ns003	ns003f1	HEM	293.6	46.9	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns003f	ns003									47.7371	269.58863	Igneous : Extrusive	Lava Flow	Andesite				278.4	0	12	167	-79	g	This study	FS-FD : SO-POM : SO-SUN	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns003g	ns003									47.7371	269.58863	Igneous : Extrusive	Lava Flow	Andesite				289	0	12	167	-85	g	This study	FS-FD : SO-POM : SO-GT5 : SO-MAG	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns004a	ns004	ns004a1	MAG	303.2	41.8	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns004a	ns004	ns004a1	MAG	294	49.9	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
