tab	specimens
specimen	sample	experiments	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_measurements	dir_tilt_correction	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	description	software_packages	int_corr	citations	method_codes	location	site	specimen_direction_type
ns002a1	ns002a									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns002	
ns002a1	ns002a	ns002a1 : LT-NO		MAG	290.2	38	9	0	1.5				0.18	0.03	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns002	l
ns002a1	ns002a	ns002a1 : LT-NO		MAG	281	43.7	9	100	1.5				0.18	0.03	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns002	l
ns002a1	ns002a	ns002a1 : LT-NO		MAG	241.6	30.5	9	-1	1.5				0.18	0.03	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : DE-BFL	North Shore Volcanics	ns002	l
ns002b1	ns002b	ns002b1 : LT-NO		HEM	286	28.5	5	0	2.9				948	823	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns002	l
ns002b1	ns002b	ns002b1 : LT-NO		HEM	279.5	33.7	5	100	2.9				948	823	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns002	l
ns002b1	ns002b									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns002	
ns002c1	ns002c									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns002	
ns002c1	ns002c	ns002c1 : LT-NO		HEM	298.9	32.8	5	0	1.2				948	773	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns002	l
ns002c1	ns002c	ns002c1 : LT-NO		HEM	291.9	40.3	5	100	1.2				948	773	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns002	l
ns002d1	ns002d	ns002d1 : LT-NO		HEM	292.4	35.9	5	0	1.2				948	673	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns002	l
ns002d1	ns002d	ns002d1 : LT-NO		HEM	284	42.1	5	100	1.2				948	673	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns002	l
ns002d1	ns002d									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns002	
ns002e1	ns002e									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns002	
ns002f1	ns002f									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns002	
ns002f1	ns002f	ns002f1 : LT-NO		HEM	287	32.9	8	0	0.7				948	573	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns002	l
ns002f1	ns002f	ns002f1 : LT-NO		HEM	279.3	38.2	8	100	0.7				948	573	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns002	l
ns002g1	ns002g									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns002	
ns003a1	ns003a	ns003a1 : LT-NO		MAG	285.3	46.4	9	100	1.3				0.12	0.015	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns003	l
