Cooling Unit	lon	lat	paleolatitude	vgp_lat	vgp_lon	vgp_lat_rev	vgp_lon_rev	site	dir_dec	dir_inc	dir_k	dir_alpha95	dir_n_samples	dir_n_specimens	dir_tilt_correction
CU1	-91.379371	47.200436	34.30572005190424	36.50758677279617	192.0774702359155	-36.50758677279617	12.077470235915513	AX1:BD1	288.8561636912029	53.76546370447074	601.4478975558843	1.2073520252131635	24	24	100
CU2	-90.856288	47.582703	19.819897358693144	23.471891887986327	183.31643736369102	-23.471891887986327	3.3164373636910227	AX3:AX4:AX5:AX6:AX7:AX8:AX9:AX10:BD2	283.48579294179746	35.7851558663072	89.51485093789874	2.43463673852897	39	39	100
CU3	-91.167418	47.368922	20.816277300318124	24.562437511230073	183.44559014418422	-24.562437511230073	3.445590144184223	AX11:AX13:BD3	284.1001966727267	37.24859514884506	195.06824644386265	2.0778504106412274	25	25	100
CU4	-91.26039	47.291835	33.618348957912524	41.09883609029915	186.68116200531796	-41.09883609029915	6.681162005317958	AX12:AX14:BD4	296.3301231431599	53.055447764726225	61.587260121175625	4.082967789577515	21	21	100
CU5	-91.26365	47.288661	35.756901759568386	26.02815502896464	204.18589354879555	-26.02815502896464	24.185893548795548	AX15:AX16:AX17:AX18:BD5	270.9832513968043	55.22514693618598	135.3599937766272	1.9254197317034456	41	41	100
CU6	-91.292925	47.263413	28.278454838289722	36.73176116593893	182.34248395336465	-36.73176116593893	2.342483953364649	AX19:BD6	294.7390922464347	47.094449723496204	102.9857273877767	3.531703198259333	17	17	100
CU7	-91.288383	47.26661	42.92185090355822	40.45918954948326	202.02848044946376	-40.45918954948326	22.028480449463757	AX20:BD7	287.4120358683756	61.73518095788319	158.40468335287161	3.459236266812335	12	12	100
CU8	-91.159176	47.411406	37.906376091107255	41.625882973421064	193.1846984035599	-41.625882973421064	13.184698403559906	AX22:BD10	293.3866509567422	57.294228545055304	251.8933874270064	2.1186895961377408	19	19	100
CU9	-91.291029	47.268486	31.275518902532045	42.128549422501024	181.719023432487	-42.128549422501024	1.7190234324870062	AX21	299.94051792234774	50.54057701696547	782.5770856103949	1.9813677605651587	8	8	100
CU10	-91.356198	47.212553	46.34438212904717	37.05127372662167	209.90310083323956	-37.05127372662167	29.903100833239563	BD8	278.77875972571275	64.495594202098	301.8514927043642	2.7849979807036425	10	10	100
CU11	-91.347111	47.224252	26.251705807712796	20.440022682020583	195.64535110789984	-20.440022682020583	15.645351107899842	BD9	272.3109041556796	44.606707357987545	55.019307498778495	8.209640059986961	7	7	100
CU12	-91.27416	47.368044	34.719464553269724	39.50475576358666	189.92969796180984	-39.50475576358666	9.929697961809836	BD11	292.9539802274438	54.186995808420356	424.6548336802352	2.6911249665047805	8	8	100
CU13	-91.328796	47.304809	30.83895338555403	31.20913028457939	191.8058628880153	-31.20913028457939	11.805862888015298	BD12	284.0552641809055	50.05508022487486	140.39488999621005	4.691020511638942	8	8	100
CU14	-91.123713	47.480383	18.38834236218461	18.05274114651754	186.66225232656714	-18.05274114651754	6.662252326567142	BD13	276.9304983670489	33.61832489861448	342.2199885359532	2.9985886049611574	8	8	100
CU15	-90.639617	47.700439	6.452393980772544	24.073096369623865	161.41539260867407	-24.073096369623865	341.4153926086741	BD15	299.05583407340174	12.745156689397307	98.31698142375679	5.217954703400034	9	9	100
CU16	-91.164446	47.373971	23.45516357315941	32.28992636102621	179.33295255446447	-32.28992636102621	359.33295255446444	BD17	292.85913754702057	40.9502811176163	551.8813450354955	2.36002437935275	8	8	100
