Lava,thickness,lava base strat height
Grand Portage lavas,945,0
Deronda Bay andesite,92,945
Red Rock rhyolite,67,1037
Hovland lavas,1932,1104
Brule River lavas,900,3036
Devil's Kettle rhyolite,235,3936
Naniboujou basalts,198,4171
Marr Island lavas,975,4369
porphyritic rhyolite,64,5344
Kadunce icelandites,488,5408
Kimball Creek rhyolite,300,5896
Red Cliff rhyolite,274,6196
Maple Hill rhyolite,70,6470
Devil Track rhyolite,250,6540
Croftville basalts,380,6790
Grand Marais felsites,348,7170
Breakwater basalt,122,7518
Good Harbor Bay andesites,131,7640
Cut Face Creek sandstone,76,7771
Good Harbor Bay andesite and Terrace Point basalt,180,7847
Lutsen basalts ,455,8027
